Frequency(Hz),  Magnitude(dB),   Phase(deg)
6899.231, 84.3693, -109.9874
6899.414, 84.6127, -113.4785
6899.597, 84.2205, -111.2491
6899.780, 83.9525, -110.9150
6899.963, 84.4965, -114.9309
6900.146, 83.7593, -118.3489
6900.330, 83.6481, -116.6495
6900.513, 83.6123, -116.1334
6900.696, 83.4478, -121.0104
6900.879, 82.6533, -121.8707
6901.062, 83.1605, -117.0921
6901.245, 82.7916, -122.8781
6901.428, 82.5909, -121.5493
6901.611, 82.1633, -125.1459
6901.794, 81.3422, -123.7152
6901.978, 81.9045, -124.3546
6902.161, 80.8512, -124.8329
6902.344, 80.6637, -126.2199
6902.527, 79.6404, -121.7240
6902.710, 79.8325, -121.0569
6902.893, 79.5101, -122.7581
6903.076, 78.6039, -115.7735
6903.259, 78.6185, -120.3110
6903.442, 77.8556, -109.7497
6903.625, 78.4955, -112.3922
6903.809, 77.3375, -106.4254
6903.992, 77.9301, -103.3215
6904.175, 76.7471, -92.8744
6904.358, 77.3614, -98.3091
6904.541, 78.2025, -89.2096
6904.724, 77.7726, -80.7100
6904.907, 79.1979, -82.8269
6905.090, 79.4996, -79.1080
6905.273, 79.8975, -78.3877
6905.457, 80.1868, -78.1510
6905.640, 80.9072, -77.5236
6905.823, 81.2003, -76.0412
6906.006, 82.0738, -76.3686
6906.189, 82.3850, -79.4904
6906.372, 82.1886, -77.9705
6906.555, 82.9800, -83.6849
6906.738, 82.8138, -79.2148
6906.921, 83.1795, -80.0391
6907.104, 83.7584, -82.9324
6907.288, 84.0603, -84.2864
6907.471, 83.9269, -86.5847
6907.654, 84.2518, -86.0684
6907.837, 84.2266, -89.9149
6908.020, 84.4239, -88.8935
6908.203, 84.1418, -92.3360
6908.386, 84.6159, -90.6876
6908.569, 84.4725, -92.5729
6908.752, 84.8166, -92.9986
6908.936, 84.4879, -95.4353
6909.119, 84.7385, -96.5778
6909.302, 84.6743, -96.1030
6909.485, 84.6402, -96.1603
6909.668, 84.7483, -97.8475
6909.851, 84.4825, -98.9525
6910.034, 84.7586, -96.4758
6910.217, 84.6132, -98.1880
6910.400, 84.8786, -97.3288
6910.583, 84.9359, -100.1172
6910.767, 84.6792, -99.7718
6910.950, 84.8323, -96.4146
6911.133, 85.2355, -99.6195
6911.316, 84.9367, -98.5650
6911.499, 85.3955, -100.3800
6911.682, 85.0839, -97.6678
6911.865, 85.4748, -98.5788
6912.048, 85.8216, -99.6173
6912.231, 85.6203, -99.3974
6912.415, 85.9137, -99.5347
6912.598, 86.1955, -100.7468
6912.781, 86.3547, -98.8901
6912.964, 86.8206, -102.3653
6913.147, 86.7259, -104.6802
6913.330, 86.7176, -102.5273
6913.513, 87.2863, -103.7135
6913.696, 87.3387, -106.9305
6913.879, 87.6431, -107.0139
6914.063, 87.6109, -111.2995
6914.246, 87.4475, -109.4875
6914.429, 87.9299, -112.1113
6914.612, 88.1433, -113.6376
6914.795, 87.9846, -116.7845
6914.978, 88.1314, -117.1945
6915.161, 88.0916, -118.7546
6915.344, 88.4538, -120.7196
6915.527, 88.0779, -123.4777
6915.710, 88.3444, -124.1627
6915.894, 88.2907, -127.2989
6916.077, 88.3404, -128.4555
6916.260, 88.1418, -129.1392
6916.443, 88.4158, -132.6927
6916.626, 88.0486, -134.8869
6916.809, 88.2369, -136.9303
6916.992, 87.6223, -137.6089
6917.175, 87.6007, -139.9192
6917.358, 87.7019, -140.4327
6917.542, 87.3568, -141.6527
6917.725, 87.1982, -142.6362
6917.908, 87.3005, -143.9132
6918.091, 87.1869, -147.7583
6918.274, 86.8143, -144.7480
6918.457, 86.5552, -149.7435
6918.640, 86.4105, -148.6181
6918.823, 86.2073, -148.4818
6919.006, 86.0705, -148.8994
6919.189, 86.0595, -151.3493
6919.373, 85.8180, -150.4511
6919.556, 85.5466, -153.0140
6919.739, 85.4861, -151.6450
6919.922, 84.9436, -153.6606
6920.105, 84.9967, -152.1550
6920.288, 84.5707, -150.5044
6920.471, 84.7882, -151.9822
6920.654, 84.3669, -150.3330
6920.837, 84.8098, -149.3163
6921.021, 84.6259, -152.2848
6921.204, 84.3822, -151.2063
6921.387, 84.2517, -152.6322
6921.570, 84.0241, -153.1465
6921.753, 83.6039, -148.0759
6921.936, 84.1694, -147.5820
6922.119, 84.0520, -152.0150
6922.302, 83.9640, -146.5396
6922.485, 83.8766, -151.0934
6922.668, 83.9051, -147.4867
6922.852, 84.1073, -150.8841
6923.035, 83.8316, -147.4352
6923.218, 83.6759, -149.2502
6923.401, 83.7625, -145.6825
6923.584, 84.0630, -147.2853
6923.767, 84.1160, -146.9884
6923.950, 84.3475, -148.6065
6924.133, 84.0346, -147.4159
6924.316, 84.3051, -148.9087
6924.500, 84.3903, -148.3600
6924.683, 84.3361, -149.6842
6924.866, 84.1780, -148.4704
6925.049, 84.5613, -150.1835
6925.232, 84.4531, -152.3319
6925.415, 84.4495, -150.7079
6925.598, 84.3173, -153.1386
6925.781, 84.4317, -151.1809
6925.964, 84.4847, -153.9511
6926.147, 84.3683, -153.1878
6926.331, 84.3035, -154.2881
6926.514, 84.4944, -155.9731
6926.697, 84.1872, -155.1837
6926.880, 84.2957, -154.8509
6927.063, 84.4979, -157.0799
6927.246, 84.0620, -157.8689
6927.429, 84.3044, -157.1869
6927.612, 83.7296, -160.8939
6927.795, 83.9864, -157.9008
6927.979, 83.8346, -159.0042
6928.162, 83.6988, -156.9577
6928.345, 83.8071, -160.0920
6928.528, 83.6350, -159.7112
6928.711, 83.7116, -158.1432
6928.894, 83.4602, -159.9770
6929.077, 83.7337, -159.8728
6929.260, 83.3859, -160.0193
6929.443, 82.9953, -158.7173
6929.626, 83.5868, -159.7287
6929.810, 83.3057, -157.8027
6929.993, 83.2506, -161.2202
6930.176, 83.1699, -156.7949
6930.359, 83.5923, -159.0641
6930.542, 83.0439, -161.6382
6930.725, 82.9836, -159.6479
6930.908, 83.1194, -157.6190
6931.091, 82.6049, -157.8710
6931.274, 83.1270, -154.9955
6931.458, 83.3215, -155.4127
6931.641, 83.3088, -156.6590
6931.824, 83.5561, -155.3264
6932.007, 83.4101, -157.2947
6932.190, 83.5986, -156.9174
6932.373, 83.4588, -155.4642
6932.556, 83.9063, -158.4426
6932.739, 83.5260, -157.9895
6932.922, 83.8316, -157.0364
6933.105, 83.7126, -155.7464
6933.289, 83.8249, -159.7941
6933.472, 84.1042, -160.0679
6933.655, 83.4420, -158.7297
6933.838, 83.9471, -160.2820
6934.021, 83.5472, -158.3677
6934.204, 83.7744, -159.4154
6934.387, 83.6266, -155.5291
6934.570, 84.0422, -159.3138
6934.753, 83.9571, -157.8636
6934.937, 83.8481, -156.6603
6935.120, 84.2476, -157.7386
6935.303, 84.4557, -155.4882
6935.486, 84.5584, -157.8772
6935.669, 84.9620, -158.2748
6935.852, 84.8731, -161.2660
6936.035, 84.2794, -159.7069
6936.218, 85.0897, -158.1756
6936.401, 85.2690, -158.8892
6936.584, 85.0140, -160.7694
6936.768, 85.7327, -160.1132
6936.951, 85.6282, -161.1307
6937.134, 86.0842, -164.4959
6937.317, 85.8155, -165.3210
6937.500, 86.1220, -167.4841
6937.683, 86.0607, -167.5966
6937.866, 86.1342, -169.1702
6938.049, 86.0496, -169.1996
6938.232, 86.6759, -172.5541
6938.416, 86.2599, -171.9297
6938.599, 86.5553, -177.4139
6938.782, 86.1302, -176.8087
6938.965, 86.5475, -179.1456
6939.148, 86.3400, 178.9787
6939.331, 86.0794, 177.8318
6939.514, 86.1563, 175.9999
6939.697, 86.0770, 173.3334
6939.880, 85.6849, 172.4910
6940.063, 85.8255, 172.4731
6940.247, 85.3846, 171.1499
6940.430, 85.6556, 169.1250
6940.613, 85.6181, 168.5134
6940.796, 85.0955, 164.1226
6940.979, 84.9859, 165.4901
6941.162, 84.7430, 161.9279
6941.345, 84.3462, 164.4633
6941.528, 84.3011, 158.9610
6941.711, 83.8366, 163.9910
6941.895, 83.8144, 158.5532
6942.078, 83.0628, 157.6438
6942.261, 82.7914, 158.5195
6942.444, 82.5028, 160.3049
6942.627, 82.0134, 161.5007
6942.810, 82.1666, 160.8448
6942.993, 81.3976, 159.5631
6943.176, 80.9819, 164.7278
6943.359, 80.5992, 160.7078
6943.542, 80.2865, 169.9595
6943.726, 80.0573, 172.0359
6943.909, 80.2084, 174.4366
6944.092, 80.5501, 178.4088
6944.275, 79.9403, 179.1370
6944.458, 80.3072, -177.2234
6944.641, 80.8234, -173.9931
6944.824, 81.0906, -173.3572
6945.007, 80.8461, -170.2072
6945.190, 82.3255, -170.3402
6945.374, 82.0670, -168.5268
6945.557, 82.1463, -169.6524
6945.740, 83.4032, -171.4778
6945.923, 82.6431, -169.4142
6946.106, 83.5022, -170.7180
6946.289, 83.7778, -174.8690
6946.472, 83.5796, -173.0397
6946.655, 84.1796, -173.8796
6946.838, 83.7419, -177.1775
6947.021, 84.4578, -175.0794
6947.205, 84.3704, -179.2038
6947.388, 84.1689, 179.3473
6947.571, 84.8149, -179.7641
6947.754, 84.1704, 178.2834
6947.937, 84.8220, 176.5094
6948.120, 84.2375, 174.5169
6948.303, 84.6666, 175.7178
6948.486, 84.5304, 172.0395
6948.669, 84.3884, 171.8105
6948.853, 84.0659, 173.5522
6949.036, 84.8792, 170.5230
6949.219, 84.3180, 169.0224
6949.402, 84.2975, 166.2384
6949.585, 84.0608, 166.7632
6949.768, 83.8085, 167.4849
6949.951, 83.9214, 163.8622
6950.134, 83.5553, 165.4794
6950.317, 83.4899, 163.0207
6950.500, 83.2186, 164.7399
6950.684, 83.0420, 167.1875
6950.867, 83.1182, 161.9135
6951.050, 82.4166, 162.8691
6951.233, 82.6963, 166.7780
6951.416, 82.2472, 164.4262
6951.599, 82.2613, 167.0519
6951.782, 81.7463, 167.1899
6951.965, 81.9570, 168.2625
6952.148, 81.5025, 168.5982
6952.332, 80.9844, 173.9998
6952.515, 81.6962, 176.4198
6952.698, 81.7478, 178.3782
6952.881, 82.2253, -179.4856
6953.064, 81.9742, 177.9732
6953.247, 82.3113, -176.6586
6953.430, 82.5304, -177.4191
6953.613, 82.8925, -177.6422
6953.796, 82.8512, -173.6615
6953.979, 83.2346, -177.4877
6954.163, 83.2510, -173.3349
6954.346, 84.2362, -175.0800
6954.529, 83.8628, -176.0943
6954.712, 84.2625, -176.7732
6954.895, 84.2607, -174.2214
6955.078, 84.7545, -176.9970
6955.261, 84.9387, -177.9734
6955.444, 84.7759, -177.3533
6955.627, 84.8837, 179.5158
6955.811, 85.4860, -176.8571
6955.994, 85.3133, 179.4788
6956.177, 85.3404, 178.4108
6956.360, 85.1570, -179.3528
6956.543, 86.0509, 179.4251
6956.726, 85.4943, 178.0287
6956.909, 86.0712, 179.1450
6957.092, 85.9244, 178.6389
6957.275, 86.5434, 175.5608
6957.458, 86.0461, 175.2023
6957.642, 86.4785, 175.1677
6957.825, 86.4359, 174.9541
6958.008, 86.5276, 173.2793
6958.191, 86.4913, 170.9327
6958.374, 86.4898, 172.3784
6958.557, 86.5827, 173.3804
6958.740, 86.5455, 171.7122
6958.923, 86.7675, 171.8627
6959.106, 86.9448, 172.0206
6959.290, 86.6594, 170.2653
6959.473, 87.3774, 171.6055
6959.656, 87.0143, 169.2841
6959.839, 87.2735, 169.5014
6960.022, 87.1964, 169.3236
6960.205, 87.1734, 168.8962
6960.388, 87.5464, 170.0860
6960.571, 87.7582, 168.6010
6960.754, 87.6242, 167.8871
6960.938, 87.9767, 168.5460
6961.121, 88.0173, 168.1386
6961.304, 88.2883, 166.0922
6961.487, 88.5053, 165.6819
6961.670, 88.2562, 165.1507
6961.853, 88.5661, 165.4957
6962.036, 88.8041, 163.2489
6962.219, 88.8738, 163.2315
6962.402, 89.0439, 161.7727
6962.585, 89.1756, 162.7531
6962.769, 89.3006, 160.9591
6962.952, 89.5183, 159.8001
6963.135, 89.5999, 158.3624
6963.318, 89.8425, 156.3814
6963.501, 89.6447, 155.9543
6963.684, 90.0345, 156.5966
6963.867, 90.2358, 154.1229
6964.050, 90.0641, 152.0452
6964.233, 90.5743, 150.6719
6964.417, 90.3298, 149.7563
6964.600, 90.4445, 147.4904
6964.783, 90.4608, 148.2374
6964.966, 90.6556, 145.3968
6965.149, 90.8804, 144.0617
6965.332, 90.6863, 143.6139
6965.515, 90.8213, 139.9579
6965.698, 90.7866, 141.0375
6965.881, 90.9179, 138.1254
6966.064, 91.0179, 137.0856
6966.248, 91.0752, 134.7757
6966.431, 90.8332, 133.4185
6966.614, 90.8998, 132.8080
6966.797, 91.0182, 131.1740
6966.980, 90.8217, 128.0375
6967.163, 90.8644, 129.8586
6967.346, 90.8708, 126.4919
6967.529, 90.8508, 126.0263
6967.712, 90.8402, 125.0094
6967.896, 90.9425, 122.8904
6968.079, 90.8000, 121.6411
6968.262, 90.7542, 118.3541
6968.445, 90.5961, 119.7344
6968.628, 90.6460, 117.2968
6968.811, 90.3203, 117.1806
6968.994, 90.6972, 114.9214
6969.177, 90.2247, 115.0312
6969.360, 90.3206, 111.2670
6969.543, 90.0332, 112.1219
6969.727, 89.8357, 113.0560
6969.910, 90.1196, 110.7589
6970.093, 89.9044, 110.8817
6970.276, 90.0060, 110.2212
6970.459, 89.9549, 107.7821
6970.642, 89.6708, 107.2704
6970.825, 89.7270, 109.4611
6971.008, 89.9172, 105.7357
6971.191, 89.6954, 105.8414
6971.375, 89.7165, 105.2553
6971.558, 89.6713, 103.7191
6971.741, 89.5465, 102.3928
6971.924, 89.6224, 103.8073
6972.107, 89.7827, 100.7118
6972.290, 89.4266, 100.6025
6972.473, 89.4767, 99.6822
6972.656, 89.5353, 97.6951
6972.839, 89.4209, 97.8002
6973.022, 89.5380, 98.0732
6973.206, 89.7434, 94.1341
6973.389, 89.2920, 91.9776
6973.572, 89.1583, 91.5600
6973.755, 89.1769, 90.1021
6973.938, 88.8940, 90.3387
6974.121, 89.0229, 88.7628
6974.304, 88.8463, 85.8370
6974.487, 88.6540, 84.1050
6974.670, 88.3180, 85.4626
6974.854, 87.9610, 83.5206
6975.037, 88.3168, 82.7534
6975.220, 87.7251, 81.2467
6975.403, 87.7696, 80.0550
6975.586, 87.3549, 79.0915
6975.769, 87.2873, 78.9304
6975.952, 86.6883, 78.6558
6976.135, 86.7157, 75.6768
6976.318, 85.8367, 76.6564
6976.501, 85.7105, 78.3952
6976.685, 85.6772, 77.3365
6976.868, 85.0879, 78.2462
6977.051, 84.9349, 79.7710
6977.234, 84.3752, 79.4722
6977.417, 84.3256, 82.3577
6977.600, 83.6411, 83.1147
6977.783, 83.6969, 88.0921
6977.966, 83.4606, 90.0047
6978.149, 83.6785, 90.7872
6978.333, 83.3296, 94.3529
6978.516, 83.7563, 98.2045
6978.699, 83.3732, 100.3849
6978.882, 84.0790, 103.4070
6979.065, 84.1866, 105.5799
6979.248, 84.6884, 104.6654
6979.431, 84.9643, 108.3226
6979.614, 85.2675, 107.3833
6979.797, 85.8054, 108.3372
6979.980, 85.8927, 107.9465
6980.164, 86.3431, 107.8822
6980.347, 86.6223, 106.4441
6980.530, 86.8112, 106.1593
6980.713, 86.9393, 105.1062
6980.896, 87.2486, 105.5917
6981.079, 87.3197, 105.1018
6981.262, 87.8069, 104.6635
6981.445, 87.7262, 102.3816
6981.628, 88.3460, 102.0751
6981.812, 88.3205, 99.4223
6981.995, 88.5473, 99.6340
6982.178, 88.2941, 97.5567
6982.361, 88.9020, 96.6039
6982.544, 88.7783, 94.8861
6982.727, 88.9639, 93.3858
6982.910, 88.9362, 92.4682
6983.093, 89.3359, 91.6846
6983.276, 89.1331, 87.9946
6983.459, 89.1317, 86.8929
6983.643, 89.2166, 86.4410
6983.826, 89.0883, 84.9407
6984.009, 89.2273, 84.6797
6984.192, 89.1652, 81.3222
6984.375, 89.3991, 81.4150
6984.558, 89.0098, 79.5187
6984.741, 89.3124, 78.4752
6984.924, 88.9770, 76.1526
6985.107, 89.0329, 76.7233
6985.291, 88.7705, 74.3298
6985.474, 88.8750, 75.8702
6985.657, 88.8198, 73.3044
6985.840, 88.8207, 74.1989
6986.023, 88.8091, 72.2761
6986.206, 88.8681, 72.3407
6986.389, 88.6510, 69.7040
6986.572, 88.6560, 70.7301
6986.755, 88.6940, 69.5664
6986.938, 88.6658, 69.7896
6987.122, 88.7483, 67.7782
6987.305, 88.6170, 67.3871
6987.488, 88.7100, 66.6104
6987.671, 88.6281, 66.4759
6987.854, 88.6263, 64.1531
6988.037, 88.4810, 64.9107
6988.220, 88.6872, 64.6590
6988.403, 88.6884, 61.8055
6988.586, 88.7091, 61.9718
6988.770, 88.5008, 60.3024
6988.953, 88.6913, 60.3721
6989.136, 88.6677, 58.0256
6989.319, 88.5243, 57.5273
6989.502, 88.5722, 56.0237
6989.685, 88.4847, 54.1134
6989.868, 88.3118, 52.9506
6990.051, 88.1125, 50.8602
6990.234, 87.9399, 52.3674
6990.417, 87.8139, 49.6222
6990.601, 87.7252, 50.5361
6990.784, 87.5732, 49.3711
6990.967, 87.2952, 48.4732
6991.150, 87.2040, 49.2344
6991.333, 87.1648, 48.6345
6991.516, 86.8991, 49.1103
6991.699, 86.9714, 47.5493
6991.882, 86.9476, 47.9072
6992.065, 86.3974, 47.2499
6992.249, 86.6623, 48.8224
6992.432, 86.3478, 50.4511
6992.615, 86.5913, 47.6295
6992.798, 86.4657, 49.4100
6992.981, 86.1780, 47.7452
6993.164, 86.4347, 50.1541
6993.347, 86.2198, 49.3781
6993.530, 86.2817, 49.4243
6993.713, 86.3331, 51.2829
6993.896, 86.4405, 49.0170
6994.080, 86.4299, 49.8077
6994.263, 86.4305, 49.9283
6994.446, 86.6231, 49.3565
6994.629, 86.4628, 47.0284
6994.812, 86.5268, 49.7922
6994.995, 86.4078, 47.1263
6995.178, 86.5910, 48.2902
6995.361, 86.4311, 47.1631
6995.544, 86.5355, 46.4453
6995.728, 86.5501, 47.2807
6995.911, 86.4090, 48.6097
6996.094, 86.5752, 45.7714
6996.277, 86.5668, 46.1895
6996.460, 86.6528, 47.0501
6996.643, 86.5877, 43.9097
6996.826, 86.4708, 48.1733
6997.009, 86.8867, 45.9209
6997.192, 87.0103, 44.7222
6997.375, 86.7599, 43.5351
6997.559, 86.5414, 43.9998
6997.742, 87.0987, 44.9738
6997.925, 87.0409, 43.4087
6998.108, 87.2979, 43.1727
6998.291, 87.3451, 40.3151
6998.474, 87.1203, 39.7203
6998.657, 87.0323, 40.4498
6998.840, 87.3129, 37.5098
6999.023, 86.9369, 38.4176
6999.207, 87.4120, 37.9024
6999.390, 86.9671, 36.0770
6999.573, 87.2759, 36.5699
6999.756, 87.1260, 35.6841
6999.939, 87.2949, 32.6154
7000.122, 87.0267, 35.4539
7000.305, 87.2324, 33.0076
7000.488, 86.9335, 32.6178
7000.671, 86.9465, 34.6321
7000.854, 87.4728, 31.8960
7001.038, 87.2876, 32.7332
7001.221, 87.2703, 30.4122
7001.404, 87.5901, 30.8760
7001.587, 87.5229, 29.1527
7001.770, 87.5814, 27.4255
7001.953, 87.5940, 26.4871
7002.136, 87.4937, 25.7547
7002.319, 87.7349, 24.5059
7002.502, 87.5579, 22.9464
7002.686, 87.6661, 22.6723
7002.869, 87.8060, 21.7352
7003.052, 87.5968, 18.5134
7003.235, 87.9828, 18.6639
7003.418, 87.5822, 15.0706
7003.601, 87.7544, 14.1958
7003.784, 87.6732, 11.8995
7003.967, 87.5740, 11.3610
7004.150, 87.3128, 7.7876
7004.333, 87.1987, 7.1946
7004.517, 87.1421, 7.7387
7004.700, 87.2119, 3.8849
7004.883, 86.9712, 0.2619
7005.066, 86.2902, 0.1025
7005.249, 86.3571, 1.1056
7005.432, 86.1507, -1.7107
7005.615, 85.9912, -1.6522
7005.798, 85.5892, -2.8173
7005.981, 85.8014, -4.0590
7006.165, 85.3880, -5.9746
7006.348, 85.3154, -8.1639
7006.531, 84.6979, -7.3150
7006.714, 84.5532, -9.7858
7006.897, 84.0822, -7.8972
7007.080, 84.0459, -8.5230
7007.263, 83.9193, -11.6989
7007.446, 83.3823, -10.8241
7007.629, 82.9111, -11.0935
7007.813, 82.6267, -9.2428
7007.996, 82.7285, -11.1194
7008.179, 82.3310, -8.0002
7008.362, 82.4036, -9.1991
7008.545, 82.4513, -10.9202
7008.728, 81.7243, -12.0504
7008.911, 81.3696, -12.5188
7009.094, 81.2121, -16.3062
7009.277, 80.0155, -8.6612
7009.460, 80.2842, -8.3731
7009.644, 80.1875, -10.3397
7009.827, 79.5631, -6.7502
7010.010, 79.6542, -4.0762
7010.193, 79.5034, -9.8763
7010.376, 78.8790, -7.2500
7010.559, 78.8769, -0.3019
7010.742, 78.2627, -6.5541
7010.925, 78.1317, -0.8683
7011.108, 77.9530, 3.4137
7011.292, 77.3771, 2.9010
7011.475, 78.5123, 5.6445
7011.658, 77.6275, 5.1787
7011.841, 77.3564, 3.3222
7012.024, 76.7923, 9.9056
7012.207, 77.3893, 4.5600
7012.390, 75.9637, 15.5721
7012.573, 76.7240, 15.1819
7012.756, 76.1386, 16.7197
7012.939, 75.7527, 25.3619
7013.123, 76.3175, 23.5382
7013.306, 76.1402, 31.1718
7013.489, 76.7568, 31.1594
7013.672, 76.3457, 35.5582
7013.855, 76.4682, 36.7963
7014.038, 77.1600, 39.3381
7014.221, 77.2620, 46.7846
7014.404, 78.0435, 46.5017
7014.587, 77.7042, 44.7406
7014.771, 78.6177, 50.8904
7014.954, 78.9440, 48.8424
7015.137, 79.2223, 50.8423
7015.320, 79.6214, 52.1255
7015.503, 79.7313, 51.0111
7015.686, 80.0138, 52.2798
7015.869, 80.2499, 52.9031
7016.052, 80.4476, 54.2146
7016.235, 81.4687, 56.9140
7016.418, 81.6068, 53.0892
7016.602, 81.8120, 55.4624
7016.785, 81.8640, 52.7167
7016.968, 82.6330, 55.0547
7017.151, 82.7811, 52.8947
7017.334, 82.9917, 53.0915
7017.517, 83.3543, 51.8885
7017.700, 83.5037, 50.9485
7017.883, 83.7660, 52.6689
7018.066, 84.1563, 48.1444
7018.250, 84.2264, 49.6409
7018.433, 84.5531, 46.7590
7018.616, 84.6268, 46.7670
7018.799, 84.7373, 45.3018
7018.982, 84.7397, 46.2894
7019.165, 85.0692, 45.0234
7019.348, 85.4554, 43.6418
7019.531, 85.3537, 41.5684
7019.714, 85.4978, 41.2243
7019.897, 85.5621, 41.1760
7020.081, 85.6001, 41.9313
7020.264, 85.9355, 40.1814
7020.447, 86.1019, 39.6282
7020.630, 86.5192, 38.3230
7020.813, 86.5168, 35.2847
7020.996, 86.4914, 37.0155
7021.179, 86.6919, 34.8069
7021.362, 86.7514, 31.7553
7021.545, 86.7619, 32.6802
7021.729, 86.9756, 32.6780
7021.912, 87.0746, 29.7082
7022.095, 87.2183, 28.6795
7022.278, 87.1360, 28.1741
7022.461, 87.1902, 26.0263
7022.644, 87.3418, 26.7004
7022.827, 87.2783, 23.8282
7023.010, 87.4271, 23.1601
7023.193, 87.3079, 22.5160
7023.376, 87.3905, 21.7526
7023.560, 87.4265, 20.2510
7023.743, 87.2039, 19.6435
7023.926, 87.3667, 18.3430
7024.109, 87.5274, 18.9453
7024.292, 87.3488, 17.4214
7024.475, 87.3072, 18.0733
7024.658, 87.5042, 15.2731
7024.841, 87.5023, 16.7035
7025.024, 87.5365, 13.9916
7025.208, 87.3589, 13.7659
7025.391, 87.5035, 14.7368
7025.574, 87.7862, 13.5000
7025.757, 87.5731, 9.8555
7025.940, 87.5336, 12.4231
7026.123, 87.5158, 10.4483
7026.306, 87.6417, 8.5514
7026.489, 87.5254, 9.9962
7026.672, 87.3299, 7.3618
7026.855, 87.6352, 9.2532
7027.039, 87.4956, 6.2957
7027.222, 87.4786, 7.1124
7027.405, 87.1227, 5.6614
7027.588, 87.3790, 6.5603
7027.771, 87.2195, 6.8764
7027.954, 87.4762, 6.2427
7028.137, 87.1419, 5.9675
7028.320, 87.1094, 5.9217
7028.503, 87.3119, 7.2043
7028.687, 87.3056, 6.3392
7028.870, 87.4461, 7.3635
7029.053, 87.4002, 7.3646
7029.236, 87.6799, 6.7537
7029.419, 87.7677, 7.4259
7029.602, 87.5609, 6.8728
7029.785, 87.9977, 6.4074
7029.968, 87.9818, 6.2866
7030.151, 88.0483, 5.9008
7030.334, 88.2151, 7.7279
7030.518, 88.3828, 5.0683
7030.701, 88.5283, 5.8584
7030.884, 88.8237, 5.7425
7031.067, 88.8138, 2.8867
7031.250, 88.9219, 3.7038
7031.433, 89.1770, 2.8538
7031.616, 89.0936, 1.3078
7031.799, 89.3250, 1.3334
7031.982, 89.4294, 1.0287
7032.166, 89.6907, -0.6990
7032.349, 89.8477, -1.1364
7032.532, 89.7164, -3.9122
7032.715, 89.8861, -3.7015
7032.898, 89.9584, -5.2215
7033.081, 90.0789, -5.9187
7033.264, 90.1266, -6.0845
7033.447, 90.4022, -8.1889
7033.630, 90.3000, -11.1323
7033.813, 90.3786, -10.4395
7033.997, 90.3745, -11.3955
7034.180, 90.6202, -13.4787
7034.363, 90.3854, -15.4582
7034.546, 90.3899, -15.3193
7034.729, 90.4931, -17.9579
7034.912, 90.5556, -17.0249
7035.095, 90.3839, -19.3429
7035.278, 90.4086, -19.3528
7035.461, 90.5192, -20.7391
7035.645, 90.4975, -21.2168
7035.828, 90.7370, -22.6091
7036.011, 90.5429, -22.9935
7036.194, 90.4467, -24.1676
7036.377, 90.6548, -26.1074
7036.560, 90.6207, -25.8122
7036.743, 90.7375, -26.8219
7036.926, 90.7368, -28.2849
7037.109, 90.7629, -29.7882
7037.292, 90.6922, -31.2675
7037.476, 90.5671, -31.8528
7037.659, 90.8501, -31.8405
7037.842, 90.6587, -34.0653
7038.025, 90.5695, -34.6058
7038.208, 90.7741, -35.4791
7038.391, 90.6670, -35.6200
7038.574, 90.7983, -39.0651
7038.757, 90.8470, -37.6600
7038.940, 90.7304, -41.2561
7039.124, 90.7380, -41.9726
7039.307, 90.4635, -43.1394
7039.490, 90.7229, -42.8883
7039.673, 90.5780, -45.2228
7039.856, 90.6407, -46.4565
7040.039, 90.2298, -48.6007
7040.222, 90.1860, -48.3541
7040.405, 90.4606, -47.7880
7040.588, 90.1046, -50.7954
7040.771, 90.0067, -50.7835
7040.955, 90.1430, -51.1873
7041.138, 89.9322, -53.4351
7041.321, 89.8457, -52.2314
7041.504, 90.0413, -53.6787
7041.687, 89.7243, -55.7331
7041.870, 89.7449, -56.2589
7042.053, 89.6975, -57.3202
7042.236, 89.2415, -56.9869
7042.419, 89.5725, -57.5077
7042.603, 89.3891, -58.3163
7042.786, 89.2232, -59.9619
7042.969, 89.1716, -60.2212
7043.152, 89.0221, -59.7039
7043.335, 88.9254, -61.8109
7043.518, 88.9230, -60.5331
7043.701, 88.6853, -61.7130
7043.884, 88.7335, -60.6507
7044.067, 88.7255, -62.2904
7044.250, 88.5318, -62.4089
7044.434, 88.7198, -62.7854
7044.617, 88.2748, -62.0912
7044.800, 88.5212, -62.1384
7044.983, 88.5555, -62.8958
7045.166, 88.5421, -61.5985
7045.349, 88.6733, -64.7809
7045.532, 88.5805, -64.0781
7045.715, 88.5417, -64.9819
7045.898, 88.5014, -66.8583
7046.082, 88.5685, -66.0009
7046.265, 88.4360, -66.4555
7046.448, 88.6673, -67.9831
7046.631, 88.4486, -71.0841
7046.814, 88.1966, -68.8426
7046.997, 88.5221, -70.0380
7047.180, 87.9372, -73.4611
7047.363, 88.3308, -70.9564
7047.546, 88.0767, -72.3311
7047.729, 87.9639, -75.3216
7047.913, 87.6343, -74.9366
7048.096, 87.7676, -74.3451
7048.279, 87.5655, -75.9579
7048.462, 87.3379, -76.8435
7048.645, 87.1849, -78.1040
7048.828, 86.9976, -77.1544
7049.011, 86.5930, -76.6943
7049.194, 86.7264, -75.0371
7049.377, 86.6556, -77.2523
